Market,Dma,Females,Males,Population,F0-5,F5-9,F10-17,F18+,F18-34,F18-49,F35-49,F50-64,F65+,M0-5,M5-9,M10-17,M18+,M18-34,M18-49,M35-49,M50-64,M65+,P0-5,P5-9,P10-17,P18+,P18-34,P18-49,P35-49,P50-64,P65+
546,"Columbia, Sc",575588.0,540303.0,1115891.0,31433.0,33231.0,56154.0,454770.0,135500.0,240730.0,105230.0,113996.0,100044.0,32802.0,34354.0,58832.0,414315.0,138652.0,235485.0,96833.0,101417.0,77413.0,64235.0,67585.0,114986.0,869085.0,274152.0,476215.0,202063.0,215413.0,177457.0
547,Toledo,536464.0,519146.0,1055610.0,30345.0,30546.0,53217.0,422356.0,117145.0,211149.0,94004.0,109134.0,102073.0,31536.0,33274.0,55218.0,399118.0,120508.0,213514.0,93006.0,104392.0,81212.0,61881.0,63820.0,108435.0,821474.0,237653.0,424663.0,187010.0,213526.0,183285.0
548,West Palm Beach-Ft. Pierce,1428683.0,1386535.0,2815218.0,62519.0,63783.0,115629.0,1186752.0,237206.0,455936.0,218730.0,301906.0,428910.0,67397.0,69180.0,120391.0,1129567.0,260574.0,479290.0,218716.0,270469.0,379808.0,129916.0,132963.0,236020.0,2316319.0,497780.0,935226.0,437446.0,572375.0,808718.0
549,Watertown,896766.0,905803.0,1802569.0,49685.0,51053.0,84952.0,711076.0,199167.0,355330.0,156163.0,187910.0,167836.0,51872.0,53183.0,89314.0,711434.0,229140.0,389137.0,159997.0,183594.0,138703.0,101557.0,104236.0,174266.0,1422510.0,428307.0,744467.0,316160.0,371504.0,306539.0
550,Wilmington,268822.0,250688.0,519510.0,11696.0,13529.0,21554.0,222043.0,54752.0,101467.0,46715.0,58378.0,62198.0,12930.0,13449.0,22794.0,201515.0,53633.0,99103.0,45470.0,50862.0,51550.0,24626.0,26978.0,44348.0,423558.0,108385.0,200570.0,92185.0,109240.0,113748.0
551,Lansing,345016.0,338475.0,683491.0,18599.0,18512.0,32127.0,275778.0,88075.0,147298.0,59223.0,68080.0,60400.0,19572.0,20448.0,32740.0,265715.0,91590.0,151349.0,59759.0,64771.0,49595.0,38171.0,38960.0,64867.0,541493.0,179665.0,298647.0,118982.0,132851.0,109995.0
552,Presque Isle,34038.0,33393.0,67431.0,1567.0,1749.0,2591.0,28131.0,5624.0,11305.0,5681.0,8022.0,8804.0,1746.0,1688.0,3039.0,26920.0,6072.0,11542.0,5470.0,7929.0,7449.0,3313.0,3437.0,5630.0,55051.0,11696.0,22847.0,11151.0,15951.0,16253.0
553,Marquette,103319.0,109002.0,212321.0,4855.0,4953.0,9029.0,84482.0,21216.0,37043.0,15827.0,22934.0,24505.0,4915.0,5588.0,9586.0,88913.0,26041.0,43312.0,17271.0,23081.0,22520.0,9770.0,10541.0,18615.0,173395.0,47257.0,80355.0,33098.0,46015.0,47025.0
554,Wheeling-Steubenville,162939.0,161879.0,324818.0,7662.0,8181.0,14502.0,132594.0,29512.0,57034.0,27522.0,36027.0,39533.0,8288.0,8474.0,15239.0,129878.0,32795.0,61280.0,28485.0,35947.0,32651.0,15950.0,16655.0,29741.0,262472.0,62307.0,118314.0,56007.0,71974.0,72184.0
555,Syracuse,463375.0,447944.0,911319.0,23226.0,24243.0,41140.0,374766.0,114451.0,192426.0,77975.0,96718.0,85622.0,24868.0,25524.0,43830.0,353722.0,115368.0,191834.0,76466.0,92795.0,69093.0,48094.0,49767.0,84970.0,728488.0,229819.0,384260.0,154441.0,189513.0,154715.0
