Market,Permanent households or heads,Residents in permanent households,Average residents per household,Variance of residents per household,"Average monthly income (heads, all)","Variance of income (heads, all)","Average monthly income (heads, with income)","Variance of income (heads, with income)","Average monthly income (ages 10+, all)","Variance of income (ages 10+, all)","Average monthly income (ages 10+, with income)","Variance of income (ages 10+, with income)",Municipality
2307700,28984,113211,3.922214285714286,3.625,520.6215,418566.0277142857,604.7512857142858,420956.5546428571,304.6453571428571,248782.8972142857,535.9663571428571,287123.08971428574,Ceará MARANGUAPE
2307809,5952,24509,4.149714285714286,4.28,514.3588571428572,989011.462,571.8297142857143,1047823.6082857144,284.58,722798.974,468.13542857142863,1087482.389428571,Ceará MARCO
2307908,2706,10189,3.844117647058823,3.732941176470588,345.90647058823527,294237.82352941175,438.9435294117647,320557.18,205.88176470588235,168621.16588235294,386.31705882352935,225404.18647058823,Ceará MARTINÓPOLE
2308005,9247,35144,3.808979591836734,3.65,453.9173469387755,428305.8220408163,546.1734693877551,436991.4569387756,264.3522448979592,230740.63653061225,466.1426530612245,278225.93020408164,Ceará MASSAPÊ
2308104,11636,44163,3.7834210526315792,3.144868421052632,435.47315789473686,465963.2601315789,523.2659210526316,506563.4259210526,255.2927631578947,255013.03000000003,442.8280263157895,339462.58434210526,Ceará MAURITI
2308203,3496,13626,3.92125,4.095833333333333,479.61625,831284.6208333332,580.5429166666667,939175.6383333332,287.8933333333334,389518.86041666666,496.09875000000005,535948.6329166667,Ceará MERUOCA
2308302,7835,28262,3.6453731343283584,3.16,550.2832835820896,699724.0673134328,626.3264179104478,714912.1325373135,322.06805970149253,411585.3125373134,521.7349253731343,518594.6844776119,Ceará MILAGRES
2308351,3837,13058,3.438076923076923,2.8461538461538463,430.6726923076923,495799.12884615385,519.9776923076923,522007.5873076923,271.17192307692306,264645.33961538464,446.24807692307695,341085.4992307692,Ceará MILHÃ
2308377,3237,12790,3.994166666666666,4.045833333333333,318.7658333333333,840920.4500000001,433.9716666666666,1003419.9291666666,187.40125,339055.0395833333,379.7504166666667,561560.2054166667,Ceará MIRAÍMA
2308401,9061,34198,3.805441176470588,3.2505882352941176,610.6142647058823,36788732.17088235,657.2729411764706,38297397.415,330.2122058823529,11728680.450147055,524.0241176470588,17218562.7175,Ceará MISSÃO VELHA
2308500,11965,42561,3.616428571428571,3.297261904761905,425.3684523809523,468910.44750000007,513.6370238095238,486150.1542857143,265.2916666666667,267689.79785714287,436.1507142857144,326444.64523809525,Ceará MOMBAÇA
2308609,4763,16685,3.5048717948717947,2.7697435897435896,407.72128205128206,444574.69,526.6451282051282,490654.378974359,245.9171794871795,228799.73769230768,445.0684615384615,317137.36384615384,Ceará MONSENHOR TABOSA
2308708,18225,61921,3.4325641025641027,2.6884615384615387,475.57786324786326,395311.9897435897,544.3923931623932,402914.3792307692,279.09222222222223,253432.33777777772,460.12,310586.6223076923,Ceará MORADA NOVA
2308807,2121,8062,3.8794117647058814,4.164117647058824,329.2235294117648,220280.15470588236,421.0635294117647,233062.42117647053,190.08235294117648,123441.88235294116,358.10764705882355,163901.9494117647,Ceará MORAÚJO
2308906,5334,20674,3.901282051282051,4.588717948717949,360.3402564102564,196800.34256410252,438.36512820512826,200563.55487179483,214.5592307692308,154013.3376923077,387.7,199941.98,Ceará MORRINHOS
2309003,4226,14095,3.36,2.8504,412.2764,475177.9436,539.2783999999999,520404.322,251.632,278945.1216,476.7344000000001,376885.8004,Ceará MUCAMBO
2309102,2928,11459,3.918636363636363,3.878181818181818,428.23545454545456,833022.8059090909,517.0513636363636,970767.2254545456,242.50045454545457,332619.3690909091,443.02272727272725,525050.8981818182,Ceará MULUNGU
2309201,3981,14237,3.655384615384615,3.795769230769231,449.0373076923077,483856.8380769231,544.1065384615384,497833.70307692303,254.37692307692308,312264.8365384616,454.6542307692307,426154.3188461539,Ceará NOVA OLINDA
2309300,9297,30900,3.3563636363636364,2.525090909090909,519.8963636363636,1823720.402,576.9754545454546,1866175.0552727275,309.0110909090909,792404.7636363637,476.6216363636363,1042174.0872727272,Ceará NOVA RUSSAS
2309409,7999,27392,3.3883333333333336,2.5435000000000003,405.86966666666666,698291.069,539.5138333333333,746305.0215,250.9498333333333,464850.2465,476.565,726748.8745,Ceará NOVO ORIENTE
2309458,6779,23925,3.5578,3.275,362.8412,205343.766,483.7268,215572.2876,213.71580000000003,127430.6742,418.0316,158474.2348,Ceará OCARA
2309508,6551,21346,3.288684210526316,2.603947368421053,478.5344736842106,876625.2171052631,522.9052631578948,915975.3002631578,294.59026315789475,443391.3881578947,448.3271052631579,588851.2297368421,Ceará ORÓS
2309607,17587,61758,3.512875,2.936375,613.5005,1044471.196875,711.31375,1105624.356,371.743125,544043.18075,616.31875,713835.164,Ceará PACAJUS
2309706,18713,72165,3.862125,3.387875,557.858125,532988.68575,664.617125,568881.2125,332.763625,294006.9295,596.659625,360695.480875,Ceará PACATUBA
2309805,3054,11576,3.8867857142857134,3.980357142857143,460.30178571428576,758719.7067857143,521.8935714285715,834469.1464285713,264.2107142857143,356079.40928571427,443.31928571428574,484054.24250000005,Ceará PACOTI
2309904,1749,5969,3.4544444444444444,2.813333333333333,456.7555555555556,454192.57666666666,517.3955555555556,478169.0766666666,272.01666666666665,234444.16222222225,433.6455555555556,299495.93666666665,Ceará PACUJÁ
2310001,2611,8858,3.3825,2.88125,457.959375,495249.64625,528.935625,517817.699375,290.114375,245529.646875,439.50625,301403.950625,Ceará PALHANO
2310100,3082,11978,3.845714285714285,4.327142857142857,472.6561904761905,1988528.8171428568,540.7728571428571,2050070.4357142856,264.82,892041.7542857142,457.29285714285714,1253270.251904762,Ceará PALMÁCIA
2310209,8698,31482,3.645873015873016,3.4619047619047616,587.2869841269842,1449965.9530158732,657.5696825396825,1547044.6341269845,328.1642857142857,668780.8257142857,555.9996825396826,963441.4909523808,Ceará PARACURU
2310258,8184,29914,3.6306976744186046,3.4244186046511627,524.7295348837209,573413.7304651163,603.3767441860465,601871.9869767443,304.9606976744186,475797.98093023256,511.89906976744186,653666.5276744186,Ceará PARAIPABA
2310308,8972,31250,3.585909090909091,3.013484848484848,345.7536363636364,204962.80818181817,414.8593939393939,207943.98681818185,209.40772727272727,123362.53227272729,355.2337878787879,148615.15196969695,Ceará PARAMBU
2310407,3010,11276,3.8260869565217392,4.200434782608696,366.78521739130434,197649.1617391304,446.8265217391304,196427.78260869565,214.89434782608697,132256.36913043476,395.33782608695657,159365.3056521739,Ceará PARAMOTI
2310506,11932,41842,3.5307042253521126,3.184647887323944,383.9245070422536,453637.6467605634,482.1874647887324,514892.5483098592,241.02450704225356,288398.14225352113,440.7801408450704,424536.5012676056,Ceará PEDRA BRANCA
2310605,2289,8196,3.643809523809524,2.669047619047619,468.0852380952381,237637.15761904765,544.9066666666666,239557.45857142852,271.60285714285715,178089.26666666666,484.4414285714286,204639.50714285715,Ceará PENAFORTE
2310704,9858,35328,3.561929824561404,3.161403508771929,485.02403508771926,591718.9287719298,548.0128070175439,621164.8024561404,273.5401754385965,310459.3889473684,471.5712280701754,414111.8959649123,Ceará PENTECOSTE
2310803,4354,15737,3.6525806451612906,3.305483870967742,352.508064516129,197515.8825806452,463.3841935483871,203621.06387096777,217.5790322580645,135277.75935483872,408.7793548387097,165681.7722580645,Ceará PEREIRO
2310852,5341,18608,3.522666666666667,3.1573333333333333,527.8946666666667,438008.311,613.6560000000001,456454.154,335.13366666666667,340660.5253333333,538.8553333333333,414649.3926666667,Ceará PINDORETAMA
2310902,4437,15422,3.497105263157895,3.205,434.2063157894737,451174.00763157895,548.8721052631579,473993.6963157895,264.41105263157897,299747.22289473686,462.025,379606.41,Ceará PIQUET CARNEIRO
2310951,2788,10211,3.6621052631578954,3.004736842105263,359.5152631578947,207311.9236842105,426.0473684210526,217465.05052631572,212.0221052631579,127998.52,374.7042105263158,160833.95368421052,Ceará PIRES FERREIRA
2311009,3397,11986,3.525,3.917666666666667,346.236,201782.31733333337,475.989,206087.25966666668,220.97066666666663,138171.221,415.3823333333333,166031.93766666666,Ceará PORANGA
2311108,4148,15052,3.707297297297297,3.046756756756757,430.1854054054055,955186.3948648648,505.9335135135136,1219746.411081081,256.6232432432432,430328.36486486485,434.3067567567568,709626.7283783783,Ceará PORTEIRAS
2311207,2828,10259,3.551470588235294,2.848235294117647,388.7941176470589,330234.09029411763,478.76382352941175,352154.1952941177,238.69617647058823,192754.8355882353,413.6282352941176,243095.3755882353,Ceará POTENGI
2311231,1705,6103,3.588095238095238,2.9814285714285718,379.7909523809524,189187.86809523808,460.7452380952381,191106.8942857143,240.1652380952381,122234.44666666666,375.3066666666667,137350.76285714286,Ceará POTIRETAMA
2311264,5722,19915,3.4566666666666666,2.4702777777777776,369.7105555555556,420963.3813888889,487.1752777777778,443261.3608333333,228.6383333333333,225198.55527777772,399.66,293197.9186111111,Ceará QUITERIANÓPOLIS
