,DMA Code,DMA Name,universe,only_english,total_spanish,spanish_and_english_very_well,spanish_and_english_less_than_very_well,total_french_haitan_or_cajun,french_haitan_or_cajun_and_english_very_well,french_haitan_or_cajun_and_english_less_than_very_well,total_german_or_other_west_germanic,german_or_other_west_germanic_and_english_very_well,german_or_other_west_germanic_and_english_less_than_very_well,total_russian_polish_or_other_slavic,russian_polish_or_other_slavic_and_english_very_well,russian_polish_or_other_slavic_and_english_less_than_very_well,total_other_indo_european,other_indo_european_and_english_very_well,other_indo_european_and_english_less_than_very_well,total_korean,korean_and_english_very_well,korean_and_english_less_than_very_well,total_chinese,chinese_and_english_very_well,chinese_and_english_less_than_very_well,total_tagalog,tagalog_and_english_very_well,tagalog_and_english_less_than_very_well,total_other_asian,other_asian_and_english_very_well,other_asian_and_english_less_than_very_well,total_arabic,arabic_and_english_very_well,arabic_and_english_less_than_very_well,total_other,other_and_english_very_well,other_and_english_less_than_very_well,total_english,total_english_less_than_very_well
155,718,"Jackson, Ms",2060015.0,1981866.0,47063.0,23340.0,23723.0,2870.0,1990.0,880.0,2487.0,2094.0,393.0,1144.0,659.0,485.0,7934.0,5649.0,2285.0,1331.0,824.0,507.0,1949.0,1070.0,879.0,2091.0,1352.0,739.0,2543.0,2175.0,368.0,2465.0,1417.0,1048.0,2168.0,1672.0,496.0,2025891.0,34124.0
156,722,Lincoln & Hastings-Krny,687075.0,618184.0,41616.0,23951.0,17665.0,904.0,731.0,173.0,2547.0,2274.0,273.0,2159.0,1552.0,607.0,3593.0,2692.0,901.0,593.0,298.0,295.0,2620.0,1033.0,1587.0,212.0,124.0,88.0,3042.0,1481.0,1561.0,3122.0,1733.0,1389.0,2768.0,1447.0,1321.0,657532.0,29543.0
157,724,Fargo,917845.0,868765.0,16996.0,11812.0,5184.0,1926.0,1376.0,550.0,6185.0,5165.0,1020.0,2967.0,1781.0,1186.0,6074.0,4111.0,1963.0,247.0,117.0,130.0,2162.0,1157.0,1005.0,1342.0,825.0,517.0,2798.0,1816.0,982.0,1505.0,944.0,561.0,5858.0,3565.0,2293.0,901793.0,16052.0
158,725,Sioux Falls(Mitchell),1406071.0,1309914.0,34964.0,20625.0,14339.0,1573.0,1105.0,468.0,11231.0,9224.0,2007.0,3630.0,1952.0,1678.0,5253.0,3143.0,2110.0,976.0,609.0,367.0,2549.0,1345.0,1204.0,1800.0,1128.0,672.0,8187.0,2585.0,5602.0,1572.0,898.0,674.0,23138.0,17472.0,5666.0,1370599.0,35472.0
159,734,Jonesboro,201237.0,194083.0,4564.0,2707.0,1857.0,159.0,82.0,77.0,637.0,487.0,150.0,153.0,104.0,49.0,293.0,141.0,152.0,12.0,12.0,0.0,327.0,140.0,187.0,58.0,44.0,14.0,530.0,272.0,258.0,183.0,117.0,66.0,180.0,139.0,41.0,198342.0,2895.0
160,736,Bowling Green,206721.0,189057.0,6187.0,3257.0,2930.0,281.0,136.0,145.0,2084.0,1369.0,715.0,2449.0,1337.0,1112.0,878.0,601.0,277.0,130.0,49.0,81.0,227.0,69.0,158.0,117.0,83.0,34.0,2787.0,1145.0,1642.0,1280.0,651.0,629.0,920.0,500.0,420.0,198396.0,8325.0
161,737,Mankato,284621.0,270664.0,6671.0,4252.0,2419.0,240.0,206.0,34.0,1035.0,843.0,192.0,546.0,432.0,114.0,929.0,781.0,148.0,229.0,125.0,104.0,376.0,228.0,148.0,151.0,121.0,30.0,1197.0,611.0,586.0,241.0,231.0,10.0,2113.0,1697.0,416.0,280258.0,4363.0
162,740,North Platte,1797999.0,1599589.0,132694.0,72457.0,60237.0,4196.0,3235.0,961.0,5040.0,4482.0,558.0,4264.0,2989.0,1275.0,10868.0,7121.0,3747.0,1579.0,810.0,769.0,5157.0,2124.0,3033.0,1353.0,931.0,422.0,12102.0,5485.0,6617.0,5299.0,3041.0,2258.0,8308.0,4409.0,3899.0,1709404.0,88595.0
163,743,Anchorage,531177.0,441412.0,18162.0,13447.0,4715.0,1489.0,1329.0,160.0,2475.0,2249.0,226.0,5219.0,3472.0,1747.0,2595.0,1869.0,726.0,3375.0,1374.0,2001.0,968.0,573.0,395.0,12531.0,6119.0,6412.0,12268.0,6707.0,5561.0,363.0,293.0,70.0,29631.0,23958.0,5673.0,503024.0,28153.0
164,744,Honolulu,1330157.0,986418.0,27325.0,19302.0,8023.0,3596.0,3100.0,496.0,3405.0,2773.0,632.0,2696.0,1902.0,794.0,5529.0,4117.0,1412.0,18910.0,7062.0,11848.0,33283.0,12836.0,20447.0,58455.0,29374.0,29081.0,173535.0,89649.0,83886.0,660.0,577.0,83.0,5745.0,4912.0,833.0,1165282.0,164875.0
