,DMA Code,DMA Name,universe,total_less_than_10_percent,total_10_to_14.9_percent,total_15_to_19.9_percent,total_20_to_24.9_percent,total_25_to_29.9_percent,total_30_to_34.9_percent,total_35_to_39.9_percent,total_40_to_49.9_percent,total_50_percent_or_more,total_not_computed
49,549,Watertown,231829.0,8631.0,21198.0,29077.0,28800.0,27499.0,18653.0,12644.0,18572.0,51751.0,15004.0
50,550,Wilmington,66276.0,2262.0,4443.0,6983.0,7357.0,6628.0,4936.0,3868.0,5233.0,16865.0,7701.0
51,551,Lansing,84630.0,3379.0,7665.0,11698.0,10199.0,8852.0,6147.0,4599.0,7198.0,19365.0,5528.0
52,552,Presque Isle,7928.0,477.0,785.0,729.0,837.0,1050.0,713.0,541.0,523.0,1456.0,817.0
53,553,Marquette,21840.0,900.0,1702.0,2557.0,2165.0,2561.0,1902.0,1062.0,1700.0,4720.0,2571.0
54,554,Wheeling-Steubenville,33797.0,2379.0,3032.0,3596.0,3681.0,3463.0,2680.0,1280.0,2308.0,5790.0,5588.0
55,555,Syracuse,121349.0,5135.0,11531.0,13336.0,13195.0,13801.0,8967.0,6705.0,8503.0,31305.0,8871.0
56,556,Richmond-Petersburg,384559.0,14921.0,34562.0,51840.0,48551.0,42135.0,32394.0,24064.0,28278.0,77668.0,30146.0
57,557,Knoxville,273533.0,12427.0,26360.0,33587.0,31553.0,29081.0,21024.0,15039.0,18929.0,53136.0,32397.0
58,558,Lima,20590.0,1205.0,2432.0,3336.0,2016.0,2127.0,1562.0,1199.0,1178.0,4062.0,1473.0
59,559,Bluefield-Beckley-Oak Hill,225416.0,11095.0,20147.0,22767.0,20534.0,20748.0,16290.0,11161.0,15211.0,43918.0,43545.0
60,560,Raleigh-Durham (Fayetvlle),449010.0,15797.0,40888.0,57880.0,58299.0,49058.0,37839.0,27983.0,35711.0,92322.0,33233.0
61,561,Jacksonville,398950.0,12938.0,28712.0,46542.0,48020.0,43420.0,36796.0,26269.0,34230.0,87272.0,34751.0
62,563,Grand Rapids-Kalmzoo-B.Crk,302044.0,11341.0,27677.0,40089.0,37667.0,32837.0,24596.0,17477.0,25181.0,64771.0,20408.0
63,564,Charleston-Huntington,121778.0,5772.0,10144.0,11931.0,11080.0,10109.0,7897.0,6274.0,7856.0,24462.0,26253.0
64,565,Elmira (Corning),28143.0,1356.0,2467.0,3322.0,3325.0,2899.0,2849.0,1739.0,1907.0,5734.0,2545.0
65,566,Harrisburg-Lncstr-Leb-York,232403.0,9786.0,24101.0,33423.0,30444.0,24397.0,19072.0,13629.0,18648.0,45470.0,13433.0
66,567,Greenvll-Spart-Ashevll-And,1654855.0,67373.0,150416.0,203326.0,202884.0,173455.0,135276.0,101418.0,132583.0,337775.0,150349.0
