,DMA Code,DMA Name,universe,owner_occupied,renter_occupied
153,716,Baton Rouge,154100.0,120962.0,33138.0
154,717,Quincy-Hannibal-Keokuk,2449152.0,1471466.0,977686.0
155,718,"Jackson, Ms",824983.0,562306.0,262677.0
156,722,Lincoln & Hastings-Krny,301804.0,199389.0,102415.0
157,724,Fargo,417483.0,279968.0,137515.0
158,725,Sioux Falls(Mitchell),617641.0,420959.0,196682.0
159,734,Jonesboro,87459.0,55905.0,31554.0
160,736,Bowling Green,88566.0,56538.0,32028.0
161,737,Mankato,119785.0,89064.0,30721.0
162,740,North Platte,782023.0,517687.0,264336.0
163,743,Anchorage,191777.0,126409.0,65368.0
164,744,Honolulu,467626.0,282037.0,185589.0
165,745,Fairbanks,38486.0,22984.0,15502.0
166,746,Biloxi-Gulfport,140279.0,89605.0,50674.0
167,747,Juneau,13289.0,8582.0,4707.0
168,749,Laredo,81071.0,51380.0,29691.0
169,751,Denver,1719948.0,1134123.0,585825.0
170,752,Colorado Springs-Pueblo,381416.0,253493.0,127923.0
171,753,Phoenix (Prescott),2069393.0,1349616.0,719777.0
172,754,Butte-Bozeman,79252.0,51715.0,27537.0
173,755,Great Falls,68148.0,45600.0,22548.0
174,756,Billings,120524.0,84671.0,35853.0
175,757,Boise,310134.0,218764.0,91370.0
176,758,Idaho Fals-Pocatllo(Jcksn),139850.0,96317.0,43533.0
177,759,Cheyenne-Scottsbluff,62062.0,44211.0,17851.0
178,760,Twin Falls,70787.0,49463.0,21324.0
179,762,Missoula,127879.0,87600.0,40279.0
180,764,Rapid City,105662.0,74072.0,31590.0
181,765,El Paso (Las Cruces),590305.0,398845.0,191460.0
182,766,Helena,132169.0,95309.0,36860.0
183,767,Casper-Riverton,58815.0,41845.0,16970.0
184,770,Salt Lake City,1069265.0,757406.0,311859.0
185,771,Yuma-El Centro,120392.0,77809.0,42583.0
186,773,Grand Junction-Montrose,77233.0,54184.0,23049.0
187,789,Tucson (Sierra Vista),477908.0,309206.0,168702.0
188,790,Albuquerque-Santa Fe,814214.0,559443.0,254771.0
189,798,Glendive,4394.0,2959.0,1435.0
190,801,Eugene,264825.0,163398.0,101427.0
191,802,Eureka,63925.0,37467.0,26458.0
192,803,Los Angeles,8310944.0,4396120.0,3914824.0
193,807,San Francisco-Oak-San Jose,2634293.0,1479004.0,1155289.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,256952.0,168134.0,88818.0
195,811,Reno,291053.0,180269.0,110784.0
196,813,Medford-Klamath Falls,188190.0,123823.0,64367.0
197,819,Seattle-Tacoma,2118555.0,1322796.0,795759.0
198,820,"Portland, Or",1324415.0,835095.0,489320.0
199,821,"Bend, Or",77040.0,52335.0,24705.0
200,825,San Diego,1130703.0,609350.0,521353.0
201,828,Monterey-Salinas,242667.0,136453.0,106214.0
202,839,Las Vegas,830282.0,458471.0,371811.0
203,855,Santabarbra-Sanmar-Sanluob,3966465.0,1912007.0,2054458.0
204,862,Sacramnto-Stkton-Modesto,1345352.0,814844.0,530508.0
205,866,Fresno-Visalia,626376.0,346411.0,279965.0
206,868,Chico-Redding,199091.0,125170.0,73921.0
207,881,Spokane,476194.0,316450.0,159744.0
