,DMA Code,DMA Name,universe,in_labor_force,civilian,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force
142,686,Mobile-Pensacola (Ft Walt),1154866.0,671504.0,649002.0,601375.0,47627.0,22502.0,483362.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),1195606.0,818845.0,806108.0,777124.0,28984.0,12737.0,376761.0
144,691,Huntsville-Decatur (Flor),2662886.0,1564845.0,1557236.0,1446072.0,111164.0,7609.0,1098041.0
145,692,Beaumont-Port Arthur,367202.0,204080.0,203898.0,190376.0,13522.0,182.0,163122.0
146,693,Little Rock-Pine Bluff,1173380.0,679130.0,675177.0,631541.0,43636.0,3953.0,494250.0
147,698,Montgomery-Selma,502214.0,284862.0,281959.0,257478.0,24481.0,2903.0,217352.0
148,702,La Crosse-Eau Claire,447950.0,297528.0,296978.0,284708.0,12270.0,550.0,150422.0
149,705,Wausau-Rhinelander,365059.0,232789.0,232731.0,221951.0,10780.0,58.0,132270.0
150,709,Tyler-Longview(Lfkn&Ncgd),589644.0,337427.0,337147.0,314819.0,22328.0,280.0,252217.0
151,710,Hattiesburg-Laurel,233224.0,135309.0,134619.0,121863.0,12756.0,690.0,97915.0
152,711,Meridian,142931.0,77877.0,77079.0,70750.0,6329.0,798.0,65054.0
153,716,Baton Rouge,325632.0,196849.0,196528.0,182746.0,13782.0,321.0,128783.0
154,717,Quincy-Hannibal-Keokuk,5126911.0,3329905.0,3327867.0,3048957.0,278910.0,2038.0,1797006.0
155,718,"Jackson, Ms",1721400.0,1012301.0,1004399.0,920794.0,83605.0,7902.0,709099.0
156,722,Lincoln & Hastings-Krny,581169.0,403389.0,402756.0,388600.0,14156.0,633.0,177780.0
157,724,Fargo,784243.0,540583.0,537545.0,521189.0,16356.0,3038.0,243660.0
158,725,Sioux Falls(Mitchell),1176841.0,815737.0,812580.0,783630.0,28950.0,3157.0,361104.0
159,734,Jonesboro,169298.0,98603.0,98530.0,92407.0,6123.0,73.0,70695.0
160,736,Bowling Green,175806.0,106087.0,105945.0,99377.0,6568.0,142.0,69719.0
161,737,Mankato,237276.0,168181.0,168124.0,160830.0,7294.0,57.0,69095.0
162,740,North Platte,1503894.0,1049778.0,1044846.0,1005472.0,39374.0,4932.0,454116.0
163,743,Anchorage,441100.0,305202.0,295330.0,271882.0,23448.0,9872.0,135898.0
164,744,Honolulu,1145830.0,746373.0,706075.0,671695.0,34380.0,40298.0,399457.0
165,745,Fairbanks,83319.0,60776.0,54133.0,49666.0,4467.0,6643.0,22543.0
166,746,Biloxi-Gulfport,282689.0,173741.0,167196.0,152513.0,14683.0,6545.0,108948.0
167,747,Juneau,27078.0,19873.0,19637.0,18671.0,966.0,236.0,7205.0
168,749,Laredo,197947.0,114812.0,114746.0,107859.0,6887.0,66.0,83135.0
169,751,Denver,3479685.0,2425519.0,2421537.0,2307337.0,114200.0,3982.0,1054166.0
170,752,Colorado Springs-Pueblo,764706.0,481365.0,451871.0,418973.0,32898.0,29494.0,283341.0
171,753,Phoenix (Prescott),4209872.0,2540085.0,2535039.0,2366500.0,168539.0,5046.0,1669787.0
172,754,Butte-Bozeman,148844.0,97793.0,97676.0,93316.0,4360.0,117.0,51051.0
173,755,Great Falls,132800.0,81033.0,78436.0,74429.0,4007.0,2597.0,51767.0
174,756,Billings,226057.0,147862.0,147507.0,141520.0,5987.0,355.0,78195.0
175,757,Boise,601775.0,380919.0,377653.0,357032.0,20621.0,3266.0,220856.0
176,758,Idaho Fals-Pocatllo(Jcksn),284221.0,181173.0,180994.0,171598.0,9396.0,179.0,103048.0
177,759,Cheyenne-Scottsbluff,120222.0,79880.0,77478.0,73350.0,4128.0,2402.0,40342.0
178,760,Twin Falls,142518.0,93458.0,93356.0,89370.0,3986.0,102.0,49060.0
