,DMA Code,DMA Name,total,total_18_29_yrs_old,total_30_44_yrs_old,total_45_64_yrs_old,total_65_older
24,524,Atlanta,7146836.0,1561262.0,1774864.0,2469161.0,1341549.0
25,525,"Albany, Ga",299415.0,63525.0,72100.0,98615.0,65175.0
26,526,Utica,128387.0,26217.0,24328.0,43985.0,33857.0
27,527,Indianapolis,2237216.0,488879.0,541936.0,752895.0,453506.0
28,528,Miami-Ft. Lauderdale,2971366.0,574590.0,703524.0,1003836.0,689416.0
29,529,Louisville,1328366.0,261633.0,319896.0,463477.0,283360.0
30,530,Tallahassee-Thomasville,579399.0,159474.0,129423.0,174881.0,115621.0
31,531,"Tri-Cities, Tn-Va",613579.0,108389.0,127711.0,216359.0,161120.0
32,532,Albany-Schenectady-Troy,1082671.0,213696.0,230499.0,378187.0,260289.0
33,533,Hartford & New Haven,1978294.0,401955.0,423372.0,699711.0,453256.0
34,534,Orlando-Daytona Bch-Melbrn,3200609.0,612039.0,713501.0,1036424.0,838645.0
35,535,"Columbus, Oh",1910901.0,424214.0,491245.0,636355.0,359087.0
36,536,Youngstown,508530.0,90058.0,104742.0,178727.0,135003.0
37,537,Bangor,278072.0,48420.0,56959.0,99773.0,72920.0
38,538,"Rochester, Ny",7630505.0,1633509.0,1863072.0,2456837.0,1677087.0
39,539,Tampa-St. Pete (Sarasota),3732378.0,637651.0,780843.0,1231012.0,1082872.0
40,540,Traverse City-Cadillac,3278264.0,688480.0,706525.0,1128329.0,754930.0
41,541,Lexington,988722.0,219054.0,229379.0,332264.0,208025.0
42,542,Dayton,918231.0,183986.0,204299.0,312869.0,217077.0
43,543,Springfield-Holyoke,541437.0,128300.0,113840.0,179270.0,120027.0
44,544,Norfolk-Portsmth-Newpt Nws,2654216.0,578166.0,641108.0,882099.0,552843.0
45,545,Greenville-N.Bern-Washngtn,620474.0,169523.0,131617.0,184182.0,135152.0
46,546,"Columbia, Sc",843905.0,196460.0,194328.0,277044.0,176073.0
47,547,Toledo,807671.0,168997.0,181858.0,274577.0,182239.0
48,548,West Palm Beach-Ft. Pierce,2146689.0,322680.0,369509.0,671682.0,782818.0
49,549,Watertown,1374000.0,305358.0,296927.0,469394.0,302321.0
50,550,Wilmington,413351.0,77211.0,85073.0,137978.0,113089.0
51,551,Lansing,521878.0,130035.0,113530.0,169085.0,109228.0
52,552,Presque Isle,54236.0,8188.0,10175.0,19821.0,16052.0
53,553,Marquette,171227.0,35477.0,32119.0,56794.0,46837.0
54,554,Wheeling-Steubenville,261326.0,44796.0,52474.0,91937.0,72119.0
55,555,Syracuse,705172.0,164115.0,149757.0,238214.0,153086.0
56,556,Richmond-Petersburg,2445510.0,490376.0,595709.0,846339.0,513086.0
57,557,Knoxville,1675053.0,339584.0,370005.0,571838.0,393626.0
58,558,Lima,137809.0,27220.0,30862.0,47396.0,32331.0
59,559,Bluefield-Beckley-Oak Hill,1666842.0,304261.0,367515.0,570056.0,425010.0
60,560,Raleigh-Durham (Fayetvlle),2343514.0,514877.0,581119.0,784228.0,463290.0
61,561,Jacksonville,2615572.0,477884.0,579694.0,876092.0,681902.0
62,563,Grand Rapids-Kalmzoo-B.Crk,2212782.0,495111.0,500603.0,739949.0,477119.0
63,564,Charleston-Huntington,867958.0,154110.0,195219.0,303919.0,214710.0
64,565,Elmira (Corning),185316.0,32254.0,40073.0,66093.0,46896.0
65,566,Harrisburg-Lncstr-Leb-York,1539782.0,292409.0,349029.0,530061.0,368283.0
66,567,Greenvll-Spart-Ashevll-And,9379024.0,1952643.0,2147277.0,3179511.0,2099593.0
67,569,Harrisonburg,127339.0,22279.0,27159.0,44850.0,33051.0
68,570,Myrtle Beach-Florence,614432.0,113845.0,129809.0,211383.0,159395.0
69,571,Ft. Myers-Naples,4461491.0,813878.0,970786.0,1444289.0,1232538.0
70,573,Roanoke-Lynchburg,669850.0,125618.0,129303.0,234723.0,180206.0
71,574,Johnstown-Altoona-St Colge,592918.0,124487.0,119952.0,200812.0,147667.0
72,575,Chattanooga,3129669.0,660622.0,755787.0,1047986.0,665274.0
73,576,Salisbury,342424.0,60917.0,60697.0,115894.0,104916.0
74,577,Wilkes Barre-Scranton-Hztn,4630060.0,866652.0,996212.0,1636401.0,1130795.0
75,581,Terre Haute,288617.0,60810.0,64790.0,96421.0,66596.0
76,582,"Lafayette, In",143907.0,54429.0,28472.0,37766.0,23240.0
77,583,Alpena,31916.0,4415.0,5439.0,11767.0,10295.0
