,DMA Code,DMA Name,universe,received_snap_in_past_12_months,received_snap_in_past_12_months_income_below_poverty,received_snap_in_past_12_months_income_atorabove_poverty,not_received_snap_in_past_12_months,not_received_snap_in_past_12_months_income_below_poverty,not_received_snap_in_past_12_months_income_atorabove_poverty
112,636,Harlingen-Wslco-Brnsvl-Mca,393009.0,107195.0,60434.0,46761.0,285814.0,44744.0,241070.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,367298.0,31347.0,14073.0,17274.0,335951.0,27787.0,308164.0
114,638,St. Joseph,61848.0,8596.0,4530.0,4066.0,53252.0,5538.0,47714.0
115,639,"Jackson, Tn",95846.0,16181.0,8944.0,7237.0,79665.0,8327.0,71338.0
116,640,Memphis,2756880.0,384195.0,211741.0,172454.0,2372685.0,266263.0,2106422.0
117,641,San Antonio,2933037.0,317968.0,149156.0,168812.0,2615069.0,231349.0,2383720.0
118,642,"Lafayette, La",226574.0,37097.0,21364.0,15733.0,189477.0,22262.0,167215.0
119,643,Lake Charles,103278.0,13759.0,7139.0,6620.0,89519.0,8979.0,80540.0
120,644,"Alexandria, La",88862.0,14887.0,8420.0,6467.0,73975.0,8760.0,65215.0
121,647,Greenwood-Greenville,65058.0,14793.0,8936.0,5857.0,50265.0,9339.0,40926.0
122,648,Champaign&Sprngfld-Decatur,391614.0,51354.0,25505.0,25849.0,340260.0,31708.0,308552.0
123,649,Evansville,702890.0,86173.0,51203.0,34970.0,616717.0,61840.0,554877.0
124,650,Oklahoma City,1259660.0,145611.0,73452.0,72159.0,1114049.0,102280.0,1011769.0
125,651,Lubbock,170451.0,21268.0,10032.0,11236.0,149183.0,20387.0,128796.0
126,652,Omaha,451736.0,39384.0,18139.0,21245.0,412352.0,26728.0,385624.0
127,656,Panama City,153489.0,21897.0,9989.0,11908.0,131592.0,12543.0,119049.0
128,657,Sherman-Ada,131709.0,17403.0,8450.0,8953.0,114306.0,11522.0,102784.0
129,658,Green Bay-Appleton,1972375.0,204359.0,90938.0,113421.0,1768016.0,123842.0,1644174.0
130,659,Nashville,1836187.0,214073.0,107338.0,106735.0,1622114.0,143915.0,1478199.0
131,661,San Angelo,799931.0,136969.0,71329.0,65640.0,662962.0,77582.0,585380.0
132,662,Abilene-Sweetwater,115014.0,13818.0,6471.0,7347.0,101196.0,9692.0,91504.0
133,669,Madison,419536.0,36306.0,14426.0,21880.0,383230.0,28951.0,354279.0
134,670,Ft. Smith-Fay-Sprngdl-Rgrs,333573.0,31701.0,17918.0,13783.0,301872.0,29828.0,272044.0
135,671,Tulsa,805769.0,106497.0,54088.0,52409.0,699272.0,64384.0,634888.0
136,673,Columbus-Tupelo-West Point,186341.0,24398.0,14944.0,9454.0,161943.0,22115.0,139828.0
137,675,Peoria-Bloomington,684601.0,83420.0,38808.0,44612.0,601181.0,44081.0,557100.0
138,676,Duluth-Superior,459340.0,35122.0,17123.0,17999.0,424218.0,28063.0,396155.0
139,678,Wichita-Hutchinson Plus,1600913.0,121199.0,61370.0,59829.0,1479714.0,128945.0,1350769.0
140,679,Des Moines-Ames,474551.0,47277.0,20570.0,26707.0,427274.0,30537.0,396737.0
141,682,Davenport-R.Island-Moline,311355.0,37279.0,19135.0,18144.0,274076.0,18321.0,255755.0
142,686,Mobile-Pensacola (Ft Walt),561334.0,68986.0,32533.0,36453.0,492348.0,45761.0,446587.0
143,687,Bismarck-Mnt-Dcknsn(Wlstn),639043.0,47489.0,23147.0,24342.0,591554.0,53504.0,538050.0
144,691,Huntsville-Decatur (Flor),1303235.0,167463.0,88865.0,78598.0,1135772.0,114658.0,1021114.0
145,692,Beaumont-Port Arthur,172728.0,25286.0,11660.0,13626.0,147442.0,16361.0,131081.0
146,693,Little Rock-Pine Bluff,576111.0,68777.0,36624.0,32153.0,507334.0,54880.0,452454.0
147,698,Montgomery-Selma,240821.0,42761.0,22636.0,20125.0,198060.0,21345.0,176715.0
148,702,La Crosse-Eau Claire,225818.0,20042.0,8756.0,11286.0,205776.0,16575.0,189201.0
149,705,Wausau-Rhinelander,193743.0,19247.0,8251.0,10996.0,174496.0,11675.0,162821.0
150,709,Tyler-Longview(Lfkn&Ncgd),271710.0,36590.0,17749.0,18841.0,235120.0,23904.0,211216.0
151,710,Hattiesburg-Laurel,111430.0,17418.0,10484.0,6934.0,94012.0,13926.0,80086.0
152,711,Meridian,68834.0,12188.0,7925.0,4263.0,56646.0,7586.0,49060.0
153,716,Baton Rouge,154100.0,22307.0,11202.0,11105.0,131793.0,12226.0,119567.0
154,717,Quincy-Hannibal-Keokuk,2449152.0,338327.0,149968.0,188359.0,2110825.0,176033.0,1934792.0
155,718,"Jackson, Ms",824983.0,115981.0,65761.0,50220.0,709002.0,85979.0,623023.0
156,722,Lincoln & Hastings-Krny,301804.0,23206.0,10579.0,12627.0,278598.0,23801.0,254797.0
157,724,Fargo,417483.0,29874.0,15394.0,14480.0,387609.0,32325.0,355284.0
158,725,Sioux Falls(Mitchell),617641.0,51408.0,26170.0,25238.0,566233.0,40213.0,526020.0
159,734,Jonesboro,87459.0,12229.0,6972.0,5257.0,75230.0,8149.0,67081.0
160,736,Bowling Green,88566.0,12108.0,7232.0,4876.0,76458.0,8932.0,67526.0
161,737,Mankato,119785.0,8216.0,3803.0,4413.0,111569.0,9218.0,102351.0
162,740,North Platte,782023.0,63895.0,29598.0,34297.0,718128.0,54883.0,663245.0
163,743,Anchorage,191777.0,21939.0,8567.0,13372.0,169838.0,10668.0,159170.0
164,744,Honolulu,467626.0,49838.0,17642.0,32196.0,417788.0,26834.0,390954.0
165,745,Fairbanks,38486.0,2244.0,708.0,1536.0,36242.0,1771.0,34471.0
166,746,Biloxi-Gulfport,140279.0,20319.0,11054.0,9265.0,119960.0,11885.0,108075.0
167,747,Juneau,13289.0,1097.0,289.0,808.0,12192.0,570.0,11622.0
168,749,Laredo,81071.0,19900.0,10907.0,8993.0,61171.0,8815.0,52356.0
169,751,Denver,1719948.0,107031.0,44083.0,62948.0,1612917.0,113648.0,1499269.0
170,752,Colorado Springs-Pueblo,381416.0,42048.0,17771.0,24277.0,339368.0,26472.0,312896.0
171,753,Phoenix (Prescott),2069393.0,195459.0,82039.0,113420.0,1873934.0,164375.0,1709559.0
172,754,Butte-Bozeman,79252.0,5937.0,2896.0,3041.0,73315.0,7926.0,65389.0
173,755,Great Falls,68148.0,8050.0,4160.0,3890.0,60098.0,6000.0,54098.0
174,756,Billings,120524.0,9260.0,3901.0,5359.0,111264.0,8673.0,102591.0
175,757,Boise,310134.0,27587.0,11933.0,15654.0,282547.0,21578.0,260969.0
176,758,Idaho Fals-Pocatllo(Jcksn),139850.0,14103.0,6392.0,7711.0,125747.0,11171.0,114576.0
177,759,Cheyenne-Scottsbluff,62062.0,4863.0,2482.0,2381.0,57199.0,4009.0,53190.0
178,760,Twin Falls,70787.0,6618.0,3366.0,3252.0,64169.0,5897.0,58272.0
179,762,Missoula,127879.0,13251.0,6243.0,7008.0,114628.0,10241.0,104387.0
180,764,Rapid City,105662.0,10510.0,5754.0,4756.0,95152.0,7316.0,87836.0
181,765,El Paso (Las Cruces),590305.0,108410.0,54917.0,53493.0,481895.0,55629.0,426266.0
182,766,Helena,132169.0,13133.0,6354.0,6779.0,119036.0,10577.0,108459.0
183,767,Casper-Riverton,58815.0,4113.0,2150.0,1963.0,54702.0,4266.0,50436.0
184,770,Salt Lake City,1069265.0,66542.0,28452.0,38090.0,1002723.0,69524.0,933199.0
185,771,Yuma-El Centro,120392.0,23707.0,11512.0,12195.0,96685.0,11906.0,84779.0
186,773,Grand Junction-Montrose,77233.0,7634.0,3558.0,4076.0,69599.0,6038.0,63561.0
187,789,Tucson (Sierra Vista),477908.0,62767.0,30106.0,32661.0,415141.0,41866.0,373275.0
188,790,Albuquerque-Santa Fe,814214.0,131867.0,65172.0,66695.0,682347.0,74902.0,607445.0
189,798,Glendive,4394.0,351.0,84.0,267.0,4043.0,437.0,3606.0
190,801,Eugene,264825.0,47420.0,19323.0,28097.0,217405.0,21885.0,195520.0
191,802,Eureka,63925.0,9019.0,4211.0,4808.0,54906.0,7350.0,47556.0
192,803,Los Angeles,8310944.0,730383.0,289996.0,440387.0,7580561.0,720665.0,6859896.0
193,807,San Francisco-Oak-San Jose,2634293.0,139410.0,49014.0,90396.0,2494883.0,170094.0,2324789.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,256952.0,43635.0,16933.0,26702.0,213317.0,16249.0,197068.0
195,811,Reno,291053.0,28541.0,10444.0,18097.0,262512.0,20061.0,242451.0
196,813,Medford-Klamath Falls,188190.0,34936.0,14690.0,20246.0,153254.0,14300.0,138954.0
197,819,Seattle-Tacoma,2118555.0,205212.0,77714.0,127498.0,1913343.0,109780.0,1803563.0
198,820,"Portland, Or",1324415.0,179522.0,66819.0,112703.0,1144893.0,70287.0,1074606.0
199,821,"Bend, Or",77040.0,8224.0,3118.0,5106.0,68816.0,4799.0,64017.0
200,825,San Diego,1130703.0,79900.0,29432.0,50468.0,1050803.0,84766.0,966037.0
201,828,Monterey-Salinas,242667.0,19274.0,6514.0,12760.0,223393.0,18773.0,204620.0
202,839,Las Vegas,830282.0,102063.0,40708.0,61355.0,728219.0,65714.0,662505.0
203,855,Santabarbra-Sanmar-Sanluob,3966465.0,379949.0,149820.0,230129.0,3586516.0,398653.0,3187863.0
204,862,Sacramnto-Stkton-Modesto,1345352.0,148342.0,57571.0,90771.0,1197010.0,108697.0,1088313.0
205,866,Fresno-Visalia,626376.0,120593.0,55574.0,65019.0,505783.0,58455.0,447328.0
206,868,Chico-Redding,199091.0,23681.0,10782.0,12899.0,175410.0,22355.0,153055.0
207,881,Spokane,476194.0,64417.0,27673.0,36744.0,411777.0,37646.0,374131.0
