,DMA Code,DMA Name,universe,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,asians_all,other_all
14,514,Buffalo,8005500.0,5643968.0,1205206.0,16659.0,318590.0,2032.0,27185.0,192849.0,599011.0,320622.0,236693.0
15,515,Cincinnati,2396322.0,1918621.0,265429.0,1990.0,60080.0,766.0,6918.0,66090.0,76428.0,60846.0,74998.0
16,516,Erie,396586.0,345643.0,20049.0,695.0,5557.0,75.0,1349.0,9636.0,13582.0,5632.0,11680.0
17,517,Charlotte,3313604.0,2126093.0,665995.0,9825.0,115742.0,1219.0,9312.0,74700.0,310718.0,116961.0,93837.0
18,518,Greensboro-H.Point-W.Salem,1823599.0,1177475.0,372521.0,5393.0,45913.0,821.0,5970.0,39266.0,176240.0,46734.0,50629.0
19,519,"Charleston, Sc",921539.0,576551.0,250529.0,2044.0,15510.0,543.0,3781.0,23332.0,49249.0,16053.0,29157.0
20,520,Augusta-Aiken,7058016.0,4315969.0,1986147.0,17702.0,119569.0,4892.0,18715.0,164743.0,430279.0,124461.0,201160.0
21,521,Providence-New Bedford,1621099.0,1207138.0,80384.0,3179.0,48595.0,790.0,16893.0,49042.0,215078.0,49385.0,69114.0
22,522,"Columbus, Ga (Opelika, Al)",591182.0,305500.0,219159.0,1220.0,14275.0,421.0,1806.0,14978.0,33823.0,14696.0,18004.0
23,523,Burlington-Plattsburgh,890185.0,812504.0,15605.0,5174.0,14833.0,294.0,1582.0,20100.0,20093.0,15127.0,26856.0
24,524,Atlanta,10164796.0,5449809.0,2834286.0,14816.0,455111.0,3523.0,40323.0,252241.0,1114687.0,458634.0,307380.0
25,525,"Albany, Ga",409495.0,208205.0,158858.0,687.0,3955.0,157.0,380.0,5966.0,31287.0,4112.0,7033.0
26,526,Utica,158612.0,146085.0,2758.0,209.0,1149.0,103.0,454.0,3015.0,4839.0,1252.0,3678.0
27,527,Indianapolis,3056201.0,2345256.0,344197.0,4690.0,92097.0,484.0,8726.0,75597.0,185154.0,92581.0,89013.0
28,528,Miami-Ft. Lauderdale,4722938.0,1104788.0,963147.0,5390.0,111057.0,1774.0,22763.0,65629.0,2448390.0,112831.0,93782.0
29,529,Louisville,1771333.0,1395511.0,208413.0,2394.0,32116.0,1062.0,5115.0,44224.0,82498.0,33178.0,51733.0
30,530,Tallahassee-Thomasville,755198.0,431416.0,240229.0,1620.0,13542.0,386.0,2037.0,14974.0,50994.0,13928.0,18631.0
31,531,"Tri-Cities, Tn-Va",767333.0,714086.0,17290.0,1620.0,5126.0,253.0,356.0,11986.0,16616.0,5379.0,13962.0
32,532,Albany-Schenectady-Troy,1382384.0,1140063.0,76335.0,2289.0,44518.0,360.0,4771.0,41430.0,72618.0,44878.0,48490.0
33,533,Hartford & New Haven,2626243.0,1781551.0,252312.0,3888.0,111509.0,380.0,7916.0,70690.0,397997.0,111889.0,82494.0
34,534,Orlando-Daytona Bch-Melbrn,4303370.0,2443265.0,567072.0,8324.0,142934.0,2540.0,22989.0,105455.0,1010791.0,145474.0,136768.0
35,535,"Columbus, Oh",2590889.0,1963501.0,338779.0,3349.0,96668.0,780.0,6342.0,82313.0,99157.0,97448.0,92004.0
36,536,Youngstown,640629.0,539471.0,57372.0,770.0,4217.0,217.0,776.0,16097.0,21709.0,4434.0,17643.0
37,537,Bangor,345066.0,323371.0,2354.0,3920.0,2561.0,28.0,590.0,6911.0,5331.0,2589.0,11421.0
38,538,"Rochester, Ny",11049719.0,5505886.0,1753589.0,19955.0,1276391.0,3360.0,81710.0,288797.0,2120031.0,1279751.0,390462.0
39,539,Tampa-St. Pete (Sarasota),4959815.0,3201548.0,529798.0,9992.0,141465.0,2645.0,17211.0,113771.0,943385.0,144110.0,140974.0
40,540,Traverse City-Cadillac,4322032.0,2975586.0,858935.0,27803.0,108673.0,1063.0,12453.0,126522.0,210997.0,109736.0,166778.0
41,541,Lexington,1307826.0,1130812.0,76124.0,2444.0,19105.0,455.0,2896.0,27546.0,48444.0,19560.0,32886.0
42,542,Dayton,1206540.0,973362.0,136445.0,1563.0,20415.0,618.0,2939.0,38829.0,32369.0,21033.0,43331.0
43,543,Springfield-Holyoke,698537.0,487178.0,40546.0,857.0,20597.0,298.0,1213.0,15507.0,132341.0,20895.0,17577.0
