,DMA Code,DMA Name,universe,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree,male_bachelors_or_higher,female_bachelors_or_higher,total_bachelors_or_higher
81,596,Zanesville,58882.0,2522.0,1314.0,374.0,138.0,3812.0,1819.0,197.0,111.0,4348.0,5939.0,10287.0
82,597,Parkersburg,108763.0,5859.0,2759.0,963.0,440.0,7603.0,3539.0,486.0,217.0,10021.0,11845.0,21866.0
83,598,Clarksburg-Weston,190079.0,10439.0,3945.0,1244.0,713.0,12231.0,6600.0,455.0,644.0,16341.0,19930.0,36271.0
84,600,Corpus Christi,391026.0,23440.0,7769.0,2444.0,1389.0,26673.0,11456.0,1822.0,1302.0,35042.0,41253.0,76295.0
85,602,Chicago,8569521.0,905504.0,381526.0,112392.0,68889.0,979197.0,513841.0,90679.0,54636.0,1468311.0,1638353.0,3106664.0
86,603,Joplin-Pittsburg,426902.0,26494.0,7556.0,2412.0,1391.0,32170.0,13121.0,1955.0,1122.0,37853.0,48368.0,86221.0
87,604,Columbia-Jefferson City,317488.0,28657.0,9859.0,3763.0,3639.0,32710.0,16887.0,2774.0,2223.0,45918.0,54594.0,100512.0
88,605,Topeka,294862.0,25330.0,9724.0,2628.0,2405.0,30690.0,14529.0,1888.0,2054.0,40087.0,49161.0,89248.0
89,606,Dothan,179959.0,11175.0,3816.0,1082.0,508.0,11735.0,6070.0,973.0,356.0,16581.0,19134.0,35715.0
90,609,St. Louis,3665650.0,322399.0,134468.0,38603.0,25236.0,360444.0,188681.0,29252.0,20262.0,520706.0,598639.0,1119345.0
91,610,Rockford,321026.0,21752.0,7835.0,2844.0,956.0,24616.0,11408.0,1743.0,876.0,33387.0,38643.0,72030.0
92,611,Rochestr-Mason City-Austin,257692.0,24677.0,7726.0,4223.0,2316.0,27147.0,11909.0,2624.0,1868.0,38942.0,43548.0,82490.0
93,612,Shreveport,1006361.0,57691.0,19129.0,6244.0,4112.0,72540.0,33138.0,3878.0,2591.0,87176.0,112147.0,199323.0
94,613,Minneapolis-St. Paul,6286549.0,728772.0,252394.0,78522.0,51248.0,806127.0,325993.0,60945.0,42438.0,1110936.0,1235503.0,2346439.0
95,616,Kansas City,1713000.0,186360.0,76386.0,22059.0,12464.0,201330.0,96143.0,15899.0,10018.0,297269.0,323390.0,620659.0
96,617,Milwaukee,1593575.0,156236.0,56327.0,17613.0,10486.0,185220.0,75478.0,12039.0,8662.0,240662.0,281399.0,522061.0
97,618,Houston,4738371.0,469679.0,183192.0,54991.0,40924.0,518253.0,214359.0,44884.0,27741.0,748786.0,805237.0,1554023.0
98,619,"Springfield, Mo",1106147.0,79653.0,27924.0,7097.0,5609.0,87778.0,40682.0,5855.0,4083.0,120283.0,138398.0,258681.0
99,622,New Orleans,1241147.0,95759.0,31812.0,16204.0,6847.0,118471.0,52803.0,11958.0,6213.0,150622.0,189445.0,340067.0
100,623,Dallas-Ft. Worth,5305478.0,568086.0,228203.0,55775.0,33260.0,623041.0,255417.0,41443.0,25797.0,885324.0,945698.0,1831022.0
101,624,Sioux City,2363428.0,210908.0,64939.0,23330.0,15850.0,246765.0,88205.0,15444.0,12347.0,315027.0,362761.0,677788.0
102,625,Waco-Temple-Bryan,9505146.0,923462.0,358846.0,101953.0,79445.0,1025429.0,430868.0,79568.0,54673.0,1463706.0,1590538.0,3054244.0
103,626,Victoria,60373.0,3530.0,1042.0,456.0,193.0,4335.0,1378.0,129.0,356.0,5221.0,6198.0,11419.0
104,627,Wichita Falls & Lawton,277826.0,18056.0,7170.0,1904.0,1216.0,20961.0,8863.0,1051.0,731.0,28346.0,31606.0,59952.0
105,628,Monroe-El Dorado,308141.0,16934.0,5076.0,1566.0,1363.0,23490.0,11210.0,1558.0,868.0,24939.0,37126.0,62065.0
106,630,Birmingham (Ann And Tusc),2742927.0,207196.0,79664.0,25861.0,18479.0,241803.0,118457.0,18507.0,13513.0,331200.0,392280.0,723480.0
107,631,Ottumwa-Kirksville,82698.0,5019.0,2165.0,552.0,832.0,6279.0,3439.0,383.0,470.0,8568.0,10571.0,19139.0
108,632,Paducah-Cape Girard-Harsbg,1409619.0,85292.0,30128.0,10350.0,7088.0,97208.0,54401.0,8106.0,4838.0,132858.0,164553.0,297411.0
109,633,Odessa-Midland,308465.0,20568.0,6136.0,1756.0,1133.0,23235.0,7711.0,1277.0,689.0,29593.0,32912.0,62505.0
110,634,Amarillo,348801.0,23740.0,6480.0,1846.0,1792.0,27407.0,9988.0,1189.0,938.0,33858.0,39522.0,73380.0
111,635,Austin,1577433.0,221616.0,86967.0,20429.0,17386.0,229252.0,97835.0,17552.0,11884.0,346398.0,356523.0,702921.0
112,636,Harlingen-Wslco-Brnsvl-Mca,783519.0,46075.0,13369.0,3467.0,2836.0,53665.0,20517.0,2706.0,1395.0,65747.0,78283.0,144030.0
113,637,Cedar Rapids-Wtrlo-Iwc&Dub,599964.0,56051.0,19199.0,7198.0,5960.0,66970.0,25585.0,4997.0,4287.0,88408.0,101839.0,190247.0
114,638,St. Joseph,109657.0,7012.0,1847.0,751.0,574.0,7834.0,3291.0,682.0,285.0,10184.0,12092.0,22276.0
115,639,"Jackson, Tn",167599.0,9633.0,3656.0,1151.0,849.0,11998.0,5302.0,954.0,569.0,15289.0,18823.0,34112.0
116,640,Memphis,4836131.0,313214.0,115268.0,39365.0,26383.0,383292.0,185177.0,29780.0,21906.0,494230.0,620155.0,1114385.0
