Market,DMA Name,gini_index
640,Memphis,0.47327297442371763
641,San Antonio,0.450957816233389
642,"Lafayette, La",0.47786224086846263
643,Lake Charles,0.46752369785174863
644,"Alexandria, La",0.47709019856079504
647,Greenwood-Greenville,0.5307239919675973
648,Champaign&Sprngfld-Decatur,0.45676701518559293
649,Evansville,0.4529223623969038
650,Oklahoma City,0.459819168061822
651,Lubbock,0.46985267481589954
652,Omaha,0.43933001339883876
656,Panama City,0.44558522792653804
657,Sherman-Ada,0.44792032255764547
658,Green Bay-Appleton,0.4394750110946398
659,Nashville,0.4583517160626886
661,San Angelo,0.4649496155228801
662,Abilene-Sweetwater,0.4549407783968701
669,Madison,0.430277137202217
670,Ft. Smith-Fay-Sprngdl-Rgrs,0.4672894106969074
671,Tulsa,0.4593794558481843
673,Columbus-Tupelo-West Point,0.46795672666539184
675,Peoria-Bloomington,0.44880531519891653
676,Duluth-Superior,0.4240946810516817
678,Wichita-Hutchinson Plus,0.4377501867179236
679,Des Moines-Ames,0.4305163063194281
682,Davenport-R.Island-Moline,0.4354267930093826
686,Mobile-Pensacola (Ft Walt),0.45576056838329987
687,Bismarck-Mnt-Dcknsn(Wlstn),0.4515826502872033
691,Huntsville-Decatur (Flor),0.4693424981472429
692,Beaumont-Port Arthur,0.465517973436069
693,Little Rock-Pine Bluff,0.46666110775378816
698,Montgomery-Selma,0.47793984237673054
702,La Crosse-Eau Claire,0.43058638289223133
705,Wausau-Rhinelander,0.4309806626368357
709,Tyler-Longview(Lfkn&Ncgd),0.46327312245309243
710,Hattiesburg-Laurel,0.4858240902269743
711,Meridian,0.4898196665403562
716,Baton Rouge,0.43656004272445087
717,Quincy-Hannibal-Keokuk,0.4937770732219545
718,"Jackson, Ms",0.47218121496772547
722,Lincoln & Hastings-Krny,0.43546249641118817
724,Fargo,0.44008016753241147
725,Sioux Falls(Mitchell),0.4308560105926792
734,Jonesboro,0.46626578382053024
736,Bowling Green,0.47283909307938504
737,Mankato,0.4095715124416672
740,North Platte,0.4362035115668121
743,Anchorage,0.4239875079309379
744,Honolulu,0.43899026575789046
745,Fairbanks,0.4129149355579599
746,Biloxi-Gulfport,0.4594921815404971
747,Juneau,0.381584682176113
749,Laredo,0.46678635027154175
751,Denver,0.443020724850097
752,Colorado Springs-Pueblo,0.4396861044892261
753,Phoenix (Prescott),0.4592266047850405
754,Butte-Bozeman,0.4550247913904703
755,Great Falls,0.44980832772914203
756,Billings,0.4506314409377443
757,Boise,0.43443606248024386
758,Idaho Fals-Pocatllo(Jcksn),0.442754568648616
759,Cheyenne-Scottsbluff,0.4377127533166197
760,Twin Falls,0.43234375375087625
762,Missoula,0.46177803766117664
764,Rapid City,0.45096129480421543
765,El Paso (Las Cruces),0.4623096549644171
766,Helena,0.4445212462014623
767,Casper-Riverton,0.427085534177943
770,Salt Lake City,0.4160855995331022
771,Yuma-El Centro,0.46016485143091534
773,Grand Junction-Montrose,0.4358489658987308
789,Tucson (Sierra Vista),0.4636513606138445
790,Albuquerque-Santa Fe,0.4643514502225808
798,Glendive,0.4233145003004206
801,Eugene,0.45976500270917725
802,Eureka,0.48080676097269115
803,Los Angeles,0.47768511149289133
807,San Francisco-Oak-San Jose,0.47289884001553567
810,Yakima-Pasco-Rchlnd-Knnwck,0.43094344069000945
811,Reno,0.4498894138832794
813,Medford-Klamath Falls,0.4628254767354869
819,Seattle-Tacoma,0.44030613439311306
820,"Portland, Or",0.4392404537797725
821,"Bend, Or",0.4526
825,San Diego,0.4616
828,Monterey-Salinas,0.45793510539355525
839,Las Vegas,0.4662969460294259
855,Santabarbra-Sanmar-Sanluob,0.49122395373138555
862,Sacramnto-Stkton-Modesto,0.45085701522197885
866,Fresno-Visalia,0.4625145083166273
868,Chico-Redding,0.4806476498379633
881,Spokane,0.444257599335824
