,DMA Code,DMA Name,male_under_5,female_under_5,total_under_5,male_5_to_9,female_5_to_9,total_5_to_9,male_10_to_17,female_10_to_17,total_10_to_17,male_18_to_34,female_18_to_34,total_18_to_34,male_35_to_49,female_35_to_49,total_35_to_49,male_50_to_64,female_50_to_64,total_50_to_64,male_65_and_over,female_65_and_over,total_65_and_over
17,517,Charlotte,100670.0,96146.0,196816.0,103390.0,102182.0,205572.0,183448.0,174687.0,358135.0,370153.0,372440.0,742593.0,329568.0,346473.0,676041.0,312147.0,332086.0,644233.0,214482.0,275732.0,490214.0
18,518,Greensboro-H.Point-W.Salem,52117.0,50069.0,102186.0,56196.0,53235.0,109431.0,95548.0,92990.0,188538.0,192260.0,203566.0,395826.0,162500.0,174676.0,337176.0,179729.0,194197.0,373926.0,137517.0,178999.0,316516.0
19,519,"Charleston, Sc",27254.0,26825.0,54079.0,28918.0,28171.0,57089.0,44894.0,42630.0,87524.0,109896.0,107425.0,217321.0,85508.0,89506.0,175014.0,84229.0,95124.0,179353.0,67411.0,83748.0,151159.0
20,520,Augusta-Aiken,213283.0,203116.0,416399.0,218242.0,214967.0,433209.0,374502.0,354472.0,728974.0,802951.0,789583.0,1592534.0,630314.0,670787.0,1301101.0,654767.0,727986.0,1382753.0,532620.0,670426.0,1203046.0
21,521,Providence-New Bedford,42960.0,41267.0,84227.0,42619.0,42741.0,85360.0,78927.0,73483.0,152410.0,191721.0,189698.0,381419.0,145690.0,151130.0,296820.0,165181.0,177698.0,342879.0,120088.0,157896.0,277984.0
22,522,"Columbus, Ga (Opelika, Al)",18723.0,18408.0,37131.0,18771.0,17732.0,36503.0,30565.0,29327.0,59892.0,83284.0,74736.0,158020.0,52275.0,54242.0,106517.0,51411.0,56025.0,107436.0,36902.0,48781.0,85683.0
23,523,Burlington-Plattsburgh,20988.0,19697.0,40685.0,23276.0,21260.0,44536.0,39005.0,37455.0,76460.0,107559.0,96889.0,204448.0,78174.0,76833.0,155007.0,97089.0,100406.0,197495.0,79272.0,92282.0,171554.0
24,524,Atlanta,315166.0,304258.0,619424.0,335197.0,320673.0,655870.0,581902.0,564182.0,1146084.0,1175553.0,1191743.0,2367296.0,1002390.0,1072931.0,2075321.0,923863.0,1000407.0,1924270.0,601901.0,774630.0,1376531.0
25,525,"Albany, Ga",13402.0,12657.0,26059.0,13668.0,13083.0,26751.0,24066.0,22228.0,46294.0,46438.0,44807.0,91245.0,37984.0,38233.0,76217.0,36954.0,40261.0,77215.0,28188.0,37526.0,65714.0
26,526,Utica,3795.0,3308.0,7103.0,3964.0,3696.0,7660.0,6817.0,6623.0,13440.0,17947.0,17329.0,35276.0,13057.0,12668.0,25725.0,17460.0,17889.0,35349.0,15769.0,18290.0,34059.0
27,527,Indianapolis,98286.0,92815.0,191101.0,101526.0,96635.0,198161.0,166986.0,159596.0,326582.0,361953.0,359530.0,721483.0,287736.0,291204.0,578940.0,283596.0,298900.0,582496.0,200140.0,257298.0,457438.0
28,528,Miami-Ft. Lauderdale,139320.0,133560.0,272880.0,129370.0,126152.0,255522.0,226883.0,219280.0,446163.0,527846.0,513281.0,1041127.0,482210.0,491763.0,973973.0,460378.0,492094.0,952472.0,334769.0,446032.0,780801.0
29,529,Louisville,55319.0,52333.0,107652.0,55845.0,52456.0,108301.0,94320.0,90837.0,185157.0,195592.0,191476.0,387068.0,168116.0,170189.0,338305.0,174146.0,185448.0,359594.0,125439.0,159817.0,285256.0
30,530,Tallahassee-Thomasville,21386.0,20471.0,41857.0,23024.0,20765.0,43789.0,36346.0,35632.0,71978.0,106852.0,105509.0,212361.0,66312.0,65890.0,132202.0,65383.0,70713.0,136096.0,51878.0,65037.0,116915.0
31,531,"Tri-Cities, Tn-Va",18533.0,17395.0,35928.0,19081.0,18250.0,37331.0,37101.0,35402.0,72503.0,79293.0,73926.0,153219.0,71298.0,69268.0,140566.0,80944.0,85261.0,166205.0,72981.0,88600.0,161581.0
32,532,Albany-Schenectady-Troy,35011.0,33761.0,68772.0,36692.0,35203.0,71895.0,63927.0,59827.0,123754.0,157921.0,151042.0,308963.0,122454.0,123305.0,245759.0,146398.0,153469.0,299867.0,117726.0,145648.0,263374.0
33,533,Hartford & New Haven,67327.0,63736.0,131063.0,68912.0,67124.0,136036.0,131463.0,124878.0,256341.0,304920.0,290450.0,595370.0,232629.0,243548.0,476177.0,273637.0,292300.0,565937.0,202973.0,262346.0,465319.0
34,534,Orlando-Daytona Bch-Melbrn,115162.0,111088.0,226250.0,117810.0,116160.0,233970.0,205437.0,194378.0,399815.0,476495.0,464577.0,941072.0,389390.0,402988.0,792378.0,401093.0,441704.0,842797.0,393569.0,473519.0,867088.0
35,535,"Columbus, Oh",84843.0,81332.0,166175.0,83328.0,79917.0,163245.0,137070.0,131405.0,268475.0,323066.0,314752.0,637818.0,253930.0,252369.0,506299.0,238326.0,246440.0,484766.0,160059.0,204052.0,364111.0
36,536,Youngstown,17143.0,16217.0,33360.0,18153.0,16918.0,35071.0,30958.0,29671.0,60629.0,65253.0,60275.0,125528.0,55877.0,54548.0,110425.0,68410.0,71728.0,140138.0,59218.0,76260.0,135478.0
37,537,Bangor,8121.0,7686.0,15807.0,8973.0,8601.0,17574.0,14829.0,14404.0,29233.0,35784.0,33678.0,69462.0,29264.0,30460.0,59724.0,38641.0,40900.0,79541.0,34503.0,39222.0,73725.0
38,538,"Rochester, Ny",336141.0,320428.0,656569.0,305411.0,292550.0,597961.0,507489.0,485452.0,992941.0,1347576.0,1379201.0,2726777.0,1048362.0,1085424.0,2133786.0,1024132.0,1114356.0,2138488.0,767977.0,1035220.0,1803197.0
39,539,Tampa-St. Pete (Sarasota),129314.0,123779.0,253093.0,131061.0,129055.0,260116.0,231035.0,216428.0,447463.0,494135.0,492212.0,986347.0,431543.0,449982.0,881525.0,478154.0,526569.0,1004723.0,511963.0,614585.0,1126548.0
40,540,Traverse City-Cadillac,127004.0,122181.0,249185.0,129297.0,123804.0,253101.0,223399.0,211880.0,435279.0,492905.0,480828.0,973733.0,373361.0,382790.0,756151.0,434265.0,456203.0,890468.0,343342.0,420773.0,764115.0
41,541,Lexington,40537.0,38547.0,79084.0,39982.0,38500.0,78482.0,67111.0,63351.0,130462.0,155405.0,152990.0,308395.0,122920.0,123739.0,246659.0,123452.0,131898.0,255350.0,92543.0,116851.0,209394.0
42,542,Dayton,37286.0,35387.0,72673.0,37103.0,34212.0,71315.0,64734.0,61481.0,126215.0,132481.0,130629.0,263110.0,103301.0,106826.0,210127.0,118963.0,125743.0,244706.0,95570.0,122824.0,218394.0
43,543,Springfield-Holyoke,17432.0,16525.0,33957.0,17867.0,19327.0,37194.0,34459.0,30505.0,64964.0,87045.0,90495.0,177540.0,57056.0,62792.0,119848.0,67800.0,74941.0,142741.0,53374.0,68919.0,122293.0
44,544,Norfolk-Portsmth-Newpt Nws,107916.0,104000.0,211916.0,105231.0,101628.0,206859.0,176418.0,167247.0,343665.0,438615.0,413064.0,851679.0,326646.0,332908.0,659554.0,332944.0,363270.0,696214.0,245048.0,316473.0,561521.0
