,DMA Code,DMA Name,universe
151,710,Hattiesburg-Laurel,298536.0
152,711,Meridian,176813.0
153,716,Baton Rouge,423645.0
154,717,Quincy-Hannibal-Keokuk,6304366.0
155,718,"Jackson, Ms",2198330.0
156,722,Lincoln & Hastings-Krny,741889.0
157,724,Fargo,995867.0
158,725,Sioux Falls(Mitchell),1554281.0
159,734,Jonesboro,220650.0
160,736,Bowling Green,228708.0
161,737,Mankato,312217.0
162,740,North Platte,1960350.0
163,743,Anchorage,564246.0
164,744,Honolulu,1419638.0
165,745,Fairbanks,105366.0
166,746,Biloxi-Gulfport,367323.0
167,747,Juneau,33399.0
168,749,Laredo,289090.0
169,751,Denver,4571290.0
170,752,Colorado Springs-Pueblo,1011377.0
171,753,Phoenix (Prescott),5678907.0
172,754,Butte-Bozeman,192345.0
173,755,Great Falls,168029.0
174,756,Billings,289034.0
175,757,Boise,838345.0
176,758,Idaho Fals-Pocatllo(Jcksn),397437.0
177,759,Cheyenne-Scottsbluff,153168.0
178,760,Twin Falls,198287.0
179,762,Missoula,314329.0
180,764,Rapid City,269199.0
181,765,El Paso (Las Cruces),1684377.0
182,766,Helena,320189.0
183,767,Casper-Riverton,146103.0
184,770,Salt Lake City,3332635.0
185,771,Yuma-El Centro,392511.0
186,773,Grand Junction-Montrose,195242.0
187,789,Tucson (Sierra Vista),1211512.0
188,790,Albuquerque-Santa Fe,2146636.0
189,798,Glendive,9986.0
190,801,Eugene,644107.0
191,802,Eureka,163793.0
192,803,Los Angeles,24911947.0
193,807,San Francisco-Oak-San Jose,7420358.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,741671.0
195,811,Reno,731902.0
196,813,Medford-Klamath Falls,447785.0
197,819,Seattle-Tacoma,5403387.0
198,820,"Portland, Or",3438408.0
199,821,"Bend, Or",191749.0
200,825,San Diego,3323970.0
201,828,Monterey-Salinas,767694.0
202,839,Las Vegas,2279557.0
203,855,Santabarbra-Sanmar-Sanluob,11939238.0
