,DMA Code,DMA Name,universe,owner_occupied,renter_occupied
198,820,"Portland, Or",3376908.0,2221263.0,1155645.0
199,821,"Bend, Or",190418.0,132004.0,58414.0
200,825,San Diego,3232647.0,1787387.0,1445260.0
201,828,Monterey-Salinas,736961.0,402232.0,334729.0
202,839,Las Vegas,2256164.0,1271365.0,984799.0
203,855,Santabarbra-Sanmar-Sanluob,11708835.0,5947775.0,5761060.0
204,862,Sacramnto-Stkton-Modesto,3830975.0,2339444.0,1491531.0
205,866,Fresno-Visalia,2000149.0,1094573.0,905576.0
206,868,Chico-Redding,504869.0,315430.0,189439.0
207,881,Spokane,1169425.0,797881.0,371544.0
