,DMA Code,DMA Name,median,median_male_age, median_female_age
149,705,Wausau-Rhinelander,44.27293105225188,43.30226308313431,45.27028149070883
150,709,Tyler-Longview(Lfkn&Ncgd),37.986541989787504,36.65474074868941,39.23793449556508
151,710,Hattiesburg-Laurel,36.90562947182249,36.145174451322454,37.71846410483158
152,711,Meridian,38.66305531833066,37.174836126302935,40.46959895482799
153,716,Baton Rouge,38.08215203767305,36.92922706511348,39.297242974660385
154,717,Quincy-Hannibal-Keokuk,37.668082928560935,36.43222209814595,38.932116837759736
155,718,"Jackson, Ms",37.82982013619429,36.2972979034085,39.17749423425964
156,722,Lincoln & Hastings-Krny,37.659183921044786,36.5940255213381,38.79818530804474
157,724,Fargo,38.07287690022864,37.285219512244105,38.918542837547584
158,725,Sioux Falls(Mitchell),37.52132072643235,36.615622078633145,38.48546581988714
159,734,Jonesboro,37.586807160661685,36.145016995241335,39.10082256968049
160,736,Bowling Green,36.50067903177851,35.30006864648372,37.84692577434983
161,737,Mankato,36.5962958455177,35.54756499485935,37.56155078038672
162,740,North Platte,37.08653026245313,36.128141556354734,38.1053249674803
163,743,Anchorage,34.8999601237758,34.35967485812925,35.47339635549034
164,744,Honolulu,39.48283837147216,38.06073365181828,41.089738722124935
165,745,Fairbanks,31.84762921625572,31.19848717802707,32.311503710874476
166,746,Biloxi-Gulfport,37.59275814473909,36.553692798980734,38.68740536258279
167,747,Juneau,38.59341597053804,37.63743225845085,39.007784664211506
168,749,Laredo,28.95419523331834,27.719707357570307,30.20839046663669
169,751,Denver,37.09264065504485,36.24881129834248,37.97929435673519
170,752,Colorado Springs-Pueblo,36.828365584742386,35.29544007822998,38.509978969266655
171,753,Phoenix (Prescott),38.229292626204305,37.10254659919594,39.387912057725195
172,754,Butte-Bozeman,38.02024019340247,36.9703948633965,39.05106865268138
173,755,Great Falls,38.772379767778176,37.34958013200102,40.18935421861702
174,756,Billings,40.98013451704644,40.10799006345274,41.96048769348935
175,757,Boise,36.87510070436396,36.04663545437737,37.88217953229279
176,758,Idaho Fals-Pocatllo(Jcksn),33.963331043662265,33.54468154701248,34.252342383824356
177,759,Cheyenne-Scottsbluff,38.51850386503708,37.46694283401233,39.77115128486368
178,760,Twin Falls,35.84566613040693,35.20661667179391,36.38075062913857
179,762,Missoula,41.574275043028166,40.69476026710866,42.719917984023105
180,764,Rapid City,39.8249350851972,38.79831017202887,40.933261639159134
181,765,El Paso (Las Cruces),35.96592027794253,34.46956316786562,37.53043243881862
182,766,Helena,43.61846659316841,42.447945119913555,44.843818494701566
183,767,Casper-Riverton,38.51879701306613,38.27765891186355,38.77891487512235
184,770,Salt Lake City,31.585369384886135,31.006628838741715,32.12672848961857
185,771,Yuma-El Centro,33.741853858872744,32.46389833660713,35.32779667321425
186,773,Grand Junction-Montrose,41.19103471589105,39.782758832628225,42.39931059915387
187,789,Tucson (Sierra Vista),38.88235527175959,37.20435125694174,40.7922120457742
188,790,Albuquerque-Santa Fe,39.304727815987434,37.83142200168077,40.690727119083064
189,798,Glendive,42.95671940717004,42.50362507510515,44.774904866813536
190,801,Eugene,40.913451336501545,39.42512781261498,42.443280231390126
191,802,Eureka,39.08597375956238,38.384533527073806,39.93957434078379
192,803,Los Angeles,37.15571716654664,35.98563841678051,38.36551554159938
193,807,San Francisco-Oak-San Jose,39.073068671349816,37.97601608978974,40.1579634702261
194,810,Yakima-Pasco-Rchlnd-Knnwck,34.3302969915232,33.48640232663809,35.14946451998258
195,811,Reno,40.343742058363,39.4277046653787,41.504635046768556
196,813,Medford-Klamath Falls,44.7448083343569,43.40552139977891,46.28979599584622
197,819,Seattle-Tacoma,38.28024226286217,37.20609780495086,39.411195181836874
198,820,"Portland, Or",39.054185483514466,38.11456964967508,39.918341540619956
199,821,"Bend, Or",42.4,41.4,43.5
200,825,San Diego,36.1,34.8,37.5
201,828,Monterey-Salinas,36.025582849416566,35.36721584381277,36.763133357822255
202,839,Las Vegas,37.82555264027177,37.112475187064845,38.52832524038662
203,855,Santabarbra-Sanmar-Sanluob,36.63602476975499,35.5226543687294,37.838578718340315
204,862,Sacramnto-Stkton-Modesto,36.86362814843595,35.628831315747526,38.11622867874741
205,866,Fresno-Visalia,32.232120737527495,31.51822407090306,32.970491298411325
206,868,Chico-Redding,39.53246313252919,38.124877140715284,41.083263824454086
207,881,Spokane,39.17599775840598,38.26150319634703,40.152191780821916
