,DMA Code,DMA Name,universe,income_past12months_below_poverty_level,income_past12months_at_or_above_poverty_level
182,766,Helena,314512.0,40964.0,273548.0
183,767,Casper-Riverton,142823.0,15532.0,127291.0
184,770,Salt Lake City,3279919.0,302667.0,2977252.0
185,771,Yuma-El Centro,375759.0,75740.0,300019.0
186,773,Grand Junction-Montrose,191247.0,24589.0,166658.0
187,789,Tucson (Sierra Vista),1174925.0,189006.0,985919.0
188,790,Albuquerque-Santa Fe,2102277.0,377866.0,1724411.0
189,798,Glendive,9481.0,1126.0,8355.0
190,801,Eugene,628327.0,103957.0,524370.0
191,802,Eureka,157507.0,30433.0,127074.0
192,803,Los Angeles,24524855.0,3123051.0,21401804.0
193,807,San Francisco-Oak-San Jose,7314956.0,610657.0,6704299.0
194,810,Yakima-Pasco-Rchlnd-Knnwck,720832.0,99791.0,621041.0
195,811,Reno,709811.0,76948.0,632863.0
196,813,Medford-Klamath Falls,441787.0,67897.0,373890.0
197,819,Seattle-Tacoma,5311328.0,485554.0,4825774.0
198,820,"Portland, Or",3383149.0,367282.0,3015867.0
199,821,"Bend, Or",190486.0,18690.0,171796.0
200,825,San Diego,3239995.0,353841.0,2886154.0
201,828,Monterey-Salinas,738196.0,86881.0,651315.0
202,839,Las Vegas,2251755.0,301768.0,1949987.0
203,855,Santabarbra-Sanmar-Sanluob,11738244.0,1648631.0,10089613.0
204,862,Sacramnto-Stkton-Modesto,3836261.0,502836.0,3333425.0
205,866,Fresno-Visalia,1999511.0,404668.0,1594843.0
206,868,Chico-Redding,505822.0,86700.0,419122.0
207,881,Spokane,1170615.0,162291.0,1008324.0
