DMA Code,DMA Name,Universe,GDP,Median Household Income,Per Capita Income Per Capita Income,Median Housing Value,In Labor Force,Broadband Any Source,Total Bachelors Or Higher,Total Spanish Household,Owner Occupied,Default CPM
539,Tampa-St. Pete (Sarasota),4959815,53248490.49,56690.45077,33097.30873,209882.936,2172361,1430264,1064830,233570,3332805,13.27364337
540,Traverse City-Cadillac,4322032,925530.0989,53417.93906,29728.1693,145089.8042,2029318,1212889,789204,50600,3012028,11.02425136
541,Lexington,1307826,6328611.778,50056.37353,27866.25358,145771.5731,599873,361322,232150,14495,851724,8.81189329
542,Dayton,1206540,16359887.22,57808.81605,31127.36804,138344.1358,602882,381121,214374,9248,801896,11.12503436
543,Springfield-Holyoke,698537,17572983.55,61655.67725,33112.90777,235412.0986,363925,209095,156841,36588,440286,10.43055043
544,Norfolk-Portsmth-Newpt Nws,3531408,2225038.897,71288.04147,36414.86661,262186.821,1824565,1037809,806020,68966,2227768,10.75038846
545,Greenville-N.Bern-Washngtn,818097,5612975.355,48802.03183,26505.04662,144470.5821,405294,226402,122516,19736,479734,9.91227035
546,"Columbia, Sc",1115891,14665362.01,53067.03304,28830.77217,145987.3866,546263,296859,219369,18355,744922,9.84973947
547,Toledo,1055610,12387630.94,55041.58362,30336.89588,132194.2875,538910,328385,175219,15225,721998,9.72323723
548,West Palm Beach-Ft. Pierce,2815218,7589009.472,58353.30302,34821.20828,230703.2715,1140351,805712,590621,110498,2018346,12.62548316
549,Watertown,1802569,5350850.326,66793.14908,34233.05408,197328.72,917775,543093,374071,34468,1215939,10.54317868
550,Wilmington,519510,8738018.737,54704.43743,32946.55049,213347.6996,233042,152503,121391,8668,358823,12.309766
551,Lansing,683491,10755435.81,58780.41673,31413.67798,149324.1234,338529,204924,140622,9161,466362,9.93908339
552,Presque Isle,67431,2633769,43791,26774,102600,31956,20359,9897,200,50904,7.38329753
553,Marquette,212321,1482464.948,49365.32765,27557.35216,124908.3294,96154,62094,39035,926,159826,9.24041921
554,Wheeling-Steubenville,324818,2176265.064,48467.41169,27347.33252,105552.9213,147873,91415,42828,1174,239241,7.97791653
