DMA_CODE,DMA_NAME,UNIVERSE,TOTAL_18_TO_34_AGE,TOTAL_35_TO_49_AGE,TOTAL_50_TO_64_AGE,TOTAL_65_AND_OVER_AGE,MALE_18_TO_34_AGE,MALE_35_TO_49_AGE,MALE_50_TO_64_AGE,MALE_65_AND_OVER_AGE,FEMALE_18_TO_34_AGE,FEMALE_35_TO_49_AGE,FEMALE_50_TO_64_AGE,FEMALE_65_AND_OVER_AGE,GDP_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOUSING_VALUE,CPM
532,Albany-Schenectady-Troy,1382384.0,308963.0,245759.0,299867.0,263374.0,157921.0,122454.0,146398.0,117726.0,151042.0,123305.0,153469.0,145648.0,38.587273197699155,63128.28369680845,212766.4904991885,10.43990781
533,Hartford & New Haven,2626243.0,595370.0,476177.0,565937.0,465319.0,304920.0,232629.0,273637.0,202973.0,290450.0,243548.0,292300.0,262346.0,19.04365453969824,75794.86111414671,250062.08126970736,11.72279716
534,Orlando-Daytona Bch-Melbrn,4303370.0,941072.0,792378.0,842797.0,867088.0,476495.0,389390.0,401093.0,393569.0,464577.0,402988.0,441704.0,473519.0,11.508511270027928,58592.51622635283,228346.28598052225,12.5484325
535,"Columbus, Oh",2590889.0,637818.0,506299.0,484766.0,364111.0,323066.0,253930.0,238326.0,160059.0,314752.0,252369.0,246440.0,204052.0,21.7708922801094,65109.87582987924,183392.47065389523,11.48992504
536,Youngstown,640629.0,125528.0,110425.0,140138.0,135478.0,65253.0,55877.0,68410.0,59218.0,60275.0,54548.0,71728.0,76260.0,25.973709780141505,49167.13797891004,115131.7852898455,8.65443566
537,Bangor,345066.0,69462.0,59724.0,79541.0,73725.0,35784.0,29264.0,38641.0,34503.0,33678.0,30460.0,40900.0,39222.0,11.964782345292193,51654.08204227597,153131.7956564831,14.18854547
538,"Rochester, Ny",11049719.0,2726777.0,2133786.0,2138488.0,1803197.0,1347576.0,1048362.0,1024132.0,767977.0,1379201.0,1085424.0,1114356.0,1035220.0,0.3516661047560914,73850.33146100819,566093.7364470536,10.24207184
539,Tampa-St. Pete (Sarasota),4959815.0,986347.0,881525.0,1004723.0,1126548.0,494135.0,431543.0,478154.0,511963.0,492212.0,449982.0,526569.0,614585.0,10.735983194076269,56690.45077225663,209882.93601676673,13.27364337
540,Traverse City-Cadillac,4322032.0,973733.0,756151.0,890468.0,764115.0,492905.0,373361.0,434265.0,343342.0,480828.0,382790.0,456203.0,420773.0,0.2141423522398619,53417.9390582948,145089.8041939532,11.02425136
541,Lexington,1307826.0,308395.0,246659.0,255350.0,209394.0,155405.0,122920.0,123452.0,92543.0,152990.0,123739.0,131898.0,116851.0,4.839031933804924,50056.37352598893,145771.57312975885,8.81189329
542,Dayton,1206540.0,263110.0,210127.0,244706.0,218394.0,132481.0,103301.0,118963.0,95570.0,130629.0,106826.0,125743.0,122824.0,13.559340942709143,57808.81605002735,138344.13579326007,11.12503436
543,Springfield-Holyoke,698537.0,177540.0,119848.0,142741.0,122293.0,87045.0,57056.0,67800.0,53374.0,90495.0,62792.0,74941.0,68919.0,25.156840008735507,61655.67725260079,235412.0985717292,10.43055043
544,Norfolk-Portsmth-Newpt Nws,3531408.0,851679.0,659554.0,696214.0,561521.0,438615.0,326646.0,332944.0,245048.0,413064.0,332908.0,363270.0,316473.0,3.895228472064724,64529.61412848467,231926.62266642688,10.75038846
545,Greenville-N.Bern-Washngtn,818097.0,224236.0,134168.0,146732.0,136016.0,125850.0,66281.0,69009.0,59957.0,98386.0,67887.0,77723.0,76059.0,6.861014470550085,48802.031828744024,144470.58209478826,9.91227035
546,"Columbia, Sc",1115891.0,274152.0,202063.0,215413.0,177457.0,138652.0,96833.0,101417.0,77413.0,135500.0,105230.0,113996.0,100044.0,13.142288998054706,53067.03303906923,145987.38658166432,9.84973947
547,Toledo,1055610.0,237653.0,187010.0,213526.0,183285.0,120508.0,93006.0,104392.0,81212.0,117145.0,94004.0,109134.0,102073.0,23.646334042651436,56061.108816985274,137042.29698109266,9.72323723
548,West Palm Beach-Ft. Pierce,2815218.0,497780.0,437446.0,572375.0,808718.0,260574.0,218716.0,270469.0,379808.0,237206.0,218730.0,301906.0,428910.0,2.6957093453579586,58353.30301880707,230703.27154060535,12.62548316
549,Watertown,1802569.0,428307.0,316160.0,371504.0,306539.0,229140.0,159997.0,183594.0,138703.0,199167.0,156163.0,187910.0,167836.0,2.9684579762587093,66793.14908444558,197328.7200101633,10.54317868
550,Wilmington,519510.0,108385.0,92185.0,109240.0,113748.0,53633.0,45470.0,50862.0,51550.0,54752.0,46715.0,58378.0,62198.0,16.819731549234263,54704.437431425766,213347.6995630498,12.309766
551,Lansing,683491.0,179665.0,118982.0,132851.0,109995.0,91590.0,59759.0,64771.0,49595.0,88075.0,59223.0,68080.0,60400.0,15.736031358393362,58780.41672531168,149324.12336080504,9.93908339
